Algorithm,Problem,Iteration,Indicator,Average,Median,StandardDeviation,Count
VEGA,UF2,4400,GenerationalDistance,0.04095205329450982,0.03229723768601603,0.01551085252744156,10
VEGA,UF2,4500,GenerationalDistance,0.037580358098019705,0.036320731638117984,0.011912509150659716,10
VEGA,UF2,4600,GenerationalDistance,0.03365300526517082,0.03164413079015829,0.007783855303322526,10
VEGA,UF2,4700,GenerationalDistance,0.03435094859504179,0.030608968723436245,0.00923327159827141,10
VEGA,UF2,4800,GenerationalDistance,0.03438099148436322,0.033251203442317814,0.007960317627168673,10
VEGA,UF2,4900,GenerationalDistance,0.032052712813973955,0.030732719077558528,0.008351407391346214,10
VEGA,UF2,5000,GenerationalDistance,0.03356825551775865,0.03271590223008725,0.008506404528038905,10
VEGA,UF2,5100,GenerationalDistance,0.03315687609784258,0.03329631563251614,0.006971513333298999,10
VEGA,UF2,5200,GenerationalDistance,0.032158518549075296,0.03194078340272213,0.009751130879859507,10
VEGA,UF2,5300,GenerationalDistance,0.031524130755210135,0.027471117466102646,0.010057994324907595,10
VEGA,UF2,5400,GenerationalDistance,0.02842967836482882,0.02930275766518041,0.008777450399321474,10
VEGA,UF2,5500,GenerationalDistance,0.0270439331792677,0.025521269057202818,0.006501766671381203,10
VEGA,UF2,5600,GenerationalDistance,0.02982054472010818,0.029788946028463534,0.008100473802850193,10
VEGA,UF2,5700,GenerationalDistance,0.02859670871271258,0.028743677054465427,0.006247229184591863,10
VEGA,UF2,5800,GenerationalDistance,0.026625430036285654,0.02319011116964611,0.006754714536869311,10
VEGA,UF2,5900,GenerationalDistance,0.02622460253101284,0.025772822489846452,0.0059911349380835305,10
VEGA,UF2,6000,GenerationalDistance,0.024437988167465494,0.024770447802114074,0.004893590995163294,10
VEGA,UF2,6100,GenerationalDistance,0.023984102751502565,0.02266177470740053,0.00616582605052896,10
VEGA,UF2,6200,GenerationalDistance,0.026379966153338087,0.02765070734921865,0.007904135729245906,10
VEGA,UF2,6300,GenerationalDistance,0.02472754792808203,0.022031212336824636,0.006711859320659968,10
VEGA,UF2,6400,GenerationalDistance,0.023576495898845674,0.024073312352211326,0.004733016521172133,10
VEGA,UF2,6500,GenerationalDistance,0.021669195599137197,0.020750984564700876,0.005569813141855589,10
VEGA,UF2,6600,GenerationalDistance,0.021210050386710772,0.021435912158650428,0.00538047516585718,10
VEGA,UF2,6700,GenerationalDistance,0.02106484230191802,0.02086042771831609,0.005419870964072563,10
VEGA,UF2,6800,GenerationalDistance,0.020778488198951846,0.02233029489298574,0.004565108500510219,10
VEGA,UF2,6900,GenerationalDistance,0.018760858606906034,0.018106061996259255,0.004818255914828235,10
VEGA,UF2,7000,GenerationalDistance,0.01686146974117868,0.016568557499262074,0.0047042088836177,10
VEGA,UF2,7100,GenerationalDistance,0.017342067903157288,0.016154055233682553,0.004485086130050025,10
VEGA,UF2,7200,GenerationalDistance,0.01746569765320025,0.01706667881811711,0.002996814472432221,10
VEGA,UF2,7300,GenerationalDistance,0.016822826378730376,0.01657196271251464,0.0042900831526731485,10
VEGA,UF2,7400,GenerationalDistance,0.016538723345440758,0.016901856780439505,0.003735931834777208,10
VEGA,UF2,7500,GenerationalDistance,0.016100524571934224,0.015626115667893865,0.004141869026170836,10
VEGA,UF2,7600,GenerationalDistance,0.015836833562304767,0.014144367711064048,0.003924914861016548,10
VEGA,UF2,7700,GenerationalDistance,0.01833219136599376,0.018546237856077022,0.005992588052733713,10
VEGA,UF2,7800,GenerationalDistance,0.01651821210399131,0.01749277270651401,0.0035488524149330583,10
VEGA,UF2,7900,GenerationalDistance,0.01699701758100455,0.017989957189843843,0.002614191418585439,10
VEGA,UF2,8000,GenerationalDistance,0.016609199093200314,0.016899549427564352,0.0033834681811805577,10
VEGA,UF2,8100,GenerationalDistance,0.01718716902880287,0.016234134464190433,0.0061975153204182265,10
VEGA,UF2,8200,GenerationalDistance,0.015832876732565115,0.01467719938002526,0.0047477503709837604,10
VEGA,UF2,8300,GenerationalDistance,0.016625237994776308,0.0170118683326988,0.005553730963529634,10
VEGA,UF2,8400,GenerationalDistance,0.015027405462321381,0.014820425271019722,0.0033225167572492175,10
VEGA,UF2,8500,GenerationalDistance,0.01667265346798848,0.015079545525485388,0.004501453816683708,10
VEGA,UF2,8600,GenerationalDistance,0.017040034222746483,0.01814617460682657,0.0033055664385599945,10
